board_size,boards,games_per_board,total_games_matchup,S1,S2,S1_wins_as_P1,S1_wins_as_P2,S2_wins_as_P1,S2_wins_as_P2,ties,S1_win_rate_as_P1,S1_win_rate_as_P2,S2_win_rate_as_P1,S2_win_rate_as_P2,S1_overall_win_rate,S2_overall_win_rate,total_tie_rate,starter_win_rate
3,132,2,264,Random,Greedy,29,0,130,100,5,0.2196969696969697,0.0,0.9848484848484849,0.7575757575757576,0.10984848484848485,0.8712121212121212,0.01893939393939394,0.6138996138996139
3,132,2,264,Random,SafeChoice,24,0,132,101,7,0.18181818181818182,0.0,1.0,0.7651515151515151,0.09090909090909091,0.8825757575757576,0.026515151515151516,0.6070038910505836
3,132,2,264,Random,MCTS,29,0,132,93,10,0.2196969696969697,0.0,1.0,0.7045454545454546,0.10984848484848485,0.8522727272727273,0.03787878787878788,0.6338582677165354
3,132,2,264,Random,Minimax,22,0,132,102,8,0.16666666666666666,0.0,1.0,0.7727272727272727,0.08333333333333333,0.8863636363636364,0.030303030303030304,0.6015625
3,132,2,264,Greedy,SafeChoice,113,1,129,10,11,0.8560606060606061,0.007575757575757576,0.9772727272727273,0.07575757575757576,0.4318181818181818,0.5265151515151515,0.041666666666666664,0.9565217391304348
3,132,2,264,Greedy,MCTS,112,0,132,9,11,0.8484848484848485,0.0,1.0,0.06818181818181818,0.42424242424242425,0.5340909090909091,0.041666666666666664,0.9644268774703557
3,132,2,264,Greedy,Minimax,111,0,132,10,11,0.8409090909090909,0.0,1.0,0.07575757575757576,0.42045454545454547,0.5378787878787878,0.041666666666666664,0.9604743083003953
3,132,2,264,SafeChoice,MCTS,126,0,132,0,6,0.9545454545454546,0.0,1.0,0.0,0.4772727272727273,0.5,0.022727272727272728,1.0
3,132,2,264,SafeChoice,Minimax,125,0,132,1,6,0.946969696969697,0.0,1.0,0.007575757575757576,0.4734848484848485,0.5037878787878788,0.022727272727272728,0.9961240310077519
3,132,2,264,MCTS,Minimax,132,0,132,0,0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0
5,132,2,264,Random,Greedy,1,0,132,131,0,0.007575757575757576,0.0,1.0,0.9924242424242424,0.003787878787878788,0.9962121212121212,0.0,0.5037878787878788
5,132,2,264,Random,SafeChoice,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
5,132,2,264,Random,MCTS,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
5,132,2,264,Random,Minimax,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
5,132,2,264,Greedy,SafeChoice,91,7,125,33,8,0.6893939393939394,0.05303030303030303,0.946969696969697,0.25,0.3712121212121212,0.5984848484848485,0.030303030303030304,0.84375
5,132,2,264,Greedy,MCTS,81,2,128,36,17,0.6136363636363636,0.015151515151515152,0.9696969696969697,0.2727272727272727,0.3143939393939394,0.6212121212121212,0.06439393939393939,0.8461538461538461
5,132,2,264,Greedy,Minimax,80,0,132,36,16,0.6060606060606061,0.0,1.0,0.2727272727272727,0.30303030303030304,0.6363636363636364,0.06060606060606061,0.8548387096774194
5,132,2,264,SafeChoice,MCTS,114,5,125,10,10,0.8636363636363636,0.03787878787878788,0.946969696969697,0.07575757575757576,0.45075757575757575,0.5113636363636364,0.03787878787878788,0.9409448818897638
5,132,2,264,SafeChoice,Minimax,112,1,129,12,10,0.8484848484848485,0.007575757575757576,0.9772727272727273,0.09090909090909091,0.42803030303030304,0.5340909090909091,0.03787878787878788,0.9488188976377953
5,132,2,264,MCTS,Minimax,119,1,125,5,14,0.9015151515151515,0.007575757575757576,0.946969696969697,0.03787878787878788,0.45454545454545453,0.49242424242424243,0.05303030303030303,0.976
6,132,2,264,Random,Greedy,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
6,132,2,264,Random,SafeChoice,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
6,132,2,264,Random,MCTS,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
6,132,2,264,Random,Minimax,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
6,132,2,264,Greedy,SafeChoice,86,3,127,34,14,0.6515151515151515,0.022727272727272728,0.9621212121212122,0.25757575757575757,0.3371212121212121,0.6098484848484849,0.05303030303030303,0.852
6,132,2,264,Greedy,MCTS,75,4,128,44,13,0.5681818181818182,0.030303030303030304,0.9696969696969697,0.3333333333333333,0.29924242424242425,0.6515151515151515,0.04924242424242424,0.8087649402390438
6,132,2,264,Greedy,Minimax,64,0,132,57,11,0.48484848484848486,0.0,1.0,0.4318181818181818,0.24242424242424243,0.7159090909090909,0.041666666666666664,0.7747035573122529
6,132,2,264,SafeChoice,MCTS,105,5,121,18,15,0.7954545454545454,0.03787878787878788,0.9166666666666666,0.13636363636363635,0.4166666666666667,0.5265151515151515,0.056818181818181816,0.9076305220883534
6,132,2,264,SafeChoice,Minimax,78,0,132,36,18,0.5909090909090909,0.0,1.0,0.2727272727272727,0.29545454545454547,0.6363636363636364,0.06818181818181818,0.8536585365853658
6,132,2,264,MCTS,Minimax,107,0,128,13,16,0.8106060606060606,0.0,0.9696969696969697,0.09848484848484848,0.4053030303030303,0.5340909090909091,0.06060606060606061,0.9475806451612904
8,132,2,264,Random,Greedy,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
8,132,2,264,Random,SafeChoice,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
8,132,2,264,Random,MCTS,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
8,132,2,264,Random,Minimax,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
8,132,2,264,Greedy,SafeChoice,53,2,128,61,20,0.4015151515151515,0.015151515151515152,0.9696969696969697,0.4621212121212121,0.20833333333333334,0.7159090909090909,0.07575757575757576,0.7418032786885246
8,132,2,264,Greedy,MCTS,99,8,121,27,9,0.75,0.06060606060606061,0.9166666666666666,0.20454545454545456,0.4053030303030303,0.5606060606060606,0.03409090909090909,0.8627450980392157
8,132,2,264,Greedy,Minimax,23,0,132,95,14,0.17424242424242425,0.0,1.0,0.7196969696969697,0.08712121212121213,0.8598484848484849,0.05303030303030303,0.62
8,132,2,264,SafeChoice,MCTS,121,29,92,8,14,0.9166666666666666,0.2196969696969697,0.696969696969697,0.06060606060606061,0.5681818181818182,0.3787878787878788,0.05303030303030303,0.852
8,132,2,264,SafeChoice,Minimax,53,0,132,60,19,0.4015151515151515,0.0,1.0,0.45454545454545453,0.20075757575757575,0.7272727272727273,0.07196969696969698,0.7551020408163265
8,132,2,264,MCTS,Minimax,40,0,131,74,19,0.30303030303030304,0.0,0.9924242424242424,0.5606060606060606,0.15151515151515152,0.7765151515151515,0.07196969696969698,0.6979591836734694
9,132,2,264,Random,Greedy,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
9,132,2,264,Random,SafeChoice,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
9,132,2,264,Random,MCTS,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
9,132,2,264,Random,Minimax,0,0,132,132,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
9,132,2,264,Greedy,SafeChoice,59,0,132,63,10,0.44696969696969696,0.0,1.0,0.4772727272727273,0.22348484848484848,0.7386363636363636,0.03787878787878788,0.7519685039370079
9,132,2,264,Greedy,MCTS,106,24,102,22,10,0.803030303030303,0.18181818181818182,0.7727272727272727,0.16666666666666666,0.49242424242424243,0.4696969696969697,0.03787878787878788,0.8188976377952756
9,132,2,264,Greedy,Minimax,15,0,132,103,14,0.11363636363636363,0.0,1.0,0.7803030303030303,0.056818181818181816,0.8901515151515151,0.05303030303030303,0.588
9,132,2,264,SafeChoice,MCTS,121,67,56,8,12,0.9166666666666666,0.5075757575757576,0.42424242424242425,0.06060606060606061,0.7121212121212122,0.24242424242424243,0.045454545454545456,0.7023809523809523
9,132,2,264,SafeChoice,Minimax,36,0,132,82,14,0.2727272727272727,0.0,1.0,0.6212121212121212,0.13636363636363635,0.8106060606060606,0.05303030303030303,0.672
9,132,2,264,MCTS,Minimax,14,0,132,110,8,0.10606060606060606,0.0,1.0,0.8333333333333334,0.05303030303030303,0.9166666666666666,0.030303030303030304,0.5703125
